"Plot Title: Depth_872"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810872, SEN S/N: 20810872)","Temp, °C (LGR S/N: 20810872, SEN S/N: 20810872)","Water Level, meters (LGR S/N: 20810872)","Coupler Detached (LGR S/N: 20810872)","Coupler Attached (LGR S/N: 20810872)","Host Connected (LGR S/N: 20810872)","Stopped (LGR S/N: 20810872)","End Of File (LGR S/N: 20810872)"
1,10/25/23 09:10:00 AM,101.726,28.258,-0.065,Logged,,,,
2,10/25/23 09:11:00 AM,101.709,28.853,-0.065,,,,,
3,10/25/23 09:12:00 AM,101.749,29.152,-0.060,,,,,
4,10/25/23 09:13:00 AM,101.745,29.652,-0.059,,,,,
5,10/25/23 09:14:00 AM,101.743,29.552,-0.060,,,,,
6,10/25/23 09:15:00 AM,101.767,29.252,-0.058,,,,,
7,10/25/23 09:16:00 AM,101.762,29.053,-0.059,,,,,
8,10/25/23 09:17:00 AM,101.757,28.853,-0.060,,,,,
9,10/25/23 09:18:00 AM,101.755,28.754,-0.061,,,,,
10,10/25/23 09:19:00 AM,101.733,28.555,-0.064,,,,,
11,10/25/23 09:20:00 AM,101.747,28.456,-0.063,,,,,
12,10/25/23 09:21:00 AM,101.728,28.357,-0.065,,,,,
13,10/25/23 09:22:00 AM,101.742,28.258,-0.064,,,,,
14,10/25/23 09:23:00 AM,101.737,28.060,-0.065,,,,,
15,10/25/23 09:24:00 AM,102.368,28.159,0.000,,,,,
16,10/25/23 09:25:00 AM,104.109,27.468,0.176,,,,,
17,10/25/23 09:26:00 AM,101.744,27.075,-0.067,,,,,
18,10/25/23 09:27:00 AM,101.739,26.879,-0.068,,,,,
19,10/25/23 09:28:00 AM,102.997,26.879,0.061,,,,,
20,10/25/23 09:29:00 AM,101.737,26.781,-0.069,,,,,
21,10/25/23 09:30:00 AM,101.732,26.585,-0.070,,,,,
22,10/25/23 09:31:00 AM,101.730,26.488,-0.070,,,,,
23,10/25/23 09:32:00 AM,101.743,26.390,-0.069,,,,,
24,10/25/23 09:33:00 AM,101.725,26.292,-0.071,,,,,
25,10/25/23 09:34:00 AM,101.741,26.292,-0.070,,,,,
26,10/25/23 09:35:00 AM,101.738,26.195,-0.070,,,,,
27,10/25/23 09:36:00 AM,101.738,26.195,-0.070,,,,,
28,10/25/23 09:37:00 AM,101.738,26.195,-0.070,,,,,
29,10/25/23 09:38:00 AM,101.752,26.097,-0.069,,,,,
30,10/25/23 09:39:00 AM,101.736,26.097,-0.071,,,,,
31,10/25/23 09:40:00 AM,101.750,26.000,-0.070,,,,,
32,10/25/23 09:41:00 AM,101.733,26.000,-0.071,,,,,
33,10/25/23 09:42:00 AM,101.731,25.902,-0.072,,,,,
34,10/25/23 09:43:00 AM,101.745,25.805,-0.071,,,,,
35,10/25/23 09:44:00 AM,101.726,25.708,-0.073,,,,,
36,10/25/23 09:45:00 AM,101.726,25.708,-0.073,,,,,
37,10/25/23 09:46:00 AM,101.726,25.708,-0.073,,,,,
38,10/25/23 09:47:00 AM,101.724,25.610,-0.073,,,,,
39,10/25/23 09:48:00 AM,101.724,25.610,-0.073,,,,,
40,10/25/23 09:49:00 AM,101.729,25.805,-0.072,,,,,
41,10/25/23 09:50:00 AM,101.710,25.708,-0.075,,,,,
42,10/25/23 09:51:00 AM,101.726,25.708,-0.073,,,,,
43,10/25/23 09:52:00 AM,101.724,25.610,-0.073,,,,,
44,10/25/23 09:53:00 AM,101.721,25.513,-0.074,,,,,
45,10/25/23 09:54:00 AM,101.724,25.610,-0.073,,,,,
46,10/25/23 09:55:00 AM,101.708,25.610,-0.075,,,,,
47,10/25/23 09:56:00 AM,101.708,25.610,-0.075,,,,,
48,10/25/23 09:57:00 AM,101.708,25.610,-0.075,,,,,
49,10/25/23 09:58:00 AM,101.708,25.610,-0.075,,,,,
50,10/25/23 09:59:00 AM,101.708,25.610,-0.075,,,,,
51,10/25/23 10:00:00 AM,101.692,25.610,-0.077,,,,,
52,10/25/23 10:01:00 AM,101.724,25.610,-0.073,,,,,
53,10/25/23 10:02:00 AM,101.708,25.610,-0.075,,,,,
54,10/25/23 10:03:00 AM,101.708,25.610,-0.075,,,,,
55,10/25/23 10:04:00 AM,101.692,25.610,-0.077,,,,,
56,10/25/23 10:05:00 AM,101.692,25.610,-0.077,,,,,
57,10/25/23 10:06:00 AM,101.692,25.610,-0.077,,,,,
58,10/25/23 10:07:00 AM,101.665,26.488,-0.077,,,,,
59,10/25/23 10:08:00 AM,101.681,26.488,-0.075,,,,,
60,10/25/23 10:09:00 AM,101.690,26.195,-0.075,,,,,
61,10/25/23 10:10:00 AM,101.685,26.000,-0.076,,,,,
62,10/25/23 10:11:00 AM,101.683,25.902,-0.077,,,,,
63,10/25/23 10:12:00 AM,101.680,25.805,-0.077,,,,,
64,10/25/23 10:13:00 AM,101.680,25.805,-0.077,,,,,
65,10/25/23 10:14:00 AM,101.678,25.708,-0.078,,,,,
66,10/25/23 10:15:00 AM,101.678,25.708,-0.078,,,,,
67,10/25/23 10:16:00 AM,101.692,25.610,-0.077,,,,,
68,10/25/23 10:17:00 AM,101.689,25.513,-0.077,,,,,
69,10/25/23 10:18:00 AM,101.673,25.513,-0.079,,,,,
70,10/25/23 10:19:00 AM,101.673,25.513,-0.079,,,,,
71,10/25/23 10:20:00 AM,101.643,26.879,-0.078,,,,,
72,10/25/23 10:21:00 AM,101.666,27.173,-0.075,,,,,
73,10/25/23 10:22:00 AM,101.664,27.075,-0.075,,,,,
74,10/25/23 10:23:00 AM,101.675,26.879,-0.075,,,,,
75,10/25/23 10:24:00 AM,101.705,26.781,-0.072,,,,,
76,10/25/23 10:25:00 AM,101.686,26.683,-0.074,,,,,
77,10/25/23 10:26:00 AM,101.686,26.683,-0.074,,,,,
78,10/25/23 10:27:00 AM,101.686,26.683,-0.074,,,,,
79,10/25/23 10:28:00 AM,101.684,26.585,-0.075,,,,,
80,10/25/23 10:29:00 AM,101.696,27.075,-0.072,,,,,
81,10/25/23 10:30:00 AM,101.690,27.468,-0.072,,,,,
82,10/25/23 10:31:00 AM,101.716,27.862,-0.068,,,,,
83,10/25/23 10:32:00 AM,101.684,27.862,-0.071,,,,,
84,10/25/23 10:33:00 AM,101.681,27.764,-0.072,,,,,
85,10/25/23 10:34:00 AM,101.679,27.665,-0.072,,,,,
86,10/25/23 10:35:00 AM,101.676,27.567,-0.073,,,,,
87,10/25/23 10:36:00 AM,101.674,27.468,-0.073,,,,,
88,10/25/23 10:37:00 AM,101.658,27.468,-0.075,,,,,
89,10/25/23 10:38:00 AM,101.671,27.370,-0.074,,,,,
90,10/25/23 10:39:00 AM,101.671,27.370,-0.074,,,,,
91,10/25/23 10:40:00 AM,101.653,27.272,-0.076,,,,,
92,10/25/23 10:41:00 AM,101.669,27.272,-0.074,,,,,
93,10/25/23 10:42:00 AM,101.666,27.173,-0.075,,,,,
94,10/25/23 10:43:00 AM,101.650,27.173,-0.077,,,,,
95,10/25/23 10:44:00 AM,101.650,27.173,-0.077,,,,,
96,10/25/23 10:45:00 AM,101.648,27.075,-0.077,,,,,
97,10/25/23 10:46:00 AM,101.648,27.075,-0.077,,,,,
98,10/25/23 10:47:00 AM,101.648,27.075,-0.077,,,,,
99,10/25/23 10:48:00 AM,101.637,27.272,-0.078,,,,,
100,10/25/23 10:49:00 AM,101.644,27.567,-0.076,,,,,
101,10/25/23 10:50:00 AM,101.644,27.567,-0.076,,,,,
102,10/25/23 10:51:00 AM,101.658,27.468,-0.075,,,,,
103,10/25/23 10:52:00 AM,101.658,27.468,-0.075,,,,,
104,10/25/23 10:53:00 AM,101.642,27.468,-0.076,,,,,
105,10/25/23 10:54:00 AM,101.658,27.468,-0.075,,,,,
106,10/25/23 10:55:00 AM,101.639,27.370,-0.077,,,,,
107,10/25/23 10:56:00 AM,101.642,27.468,-0.076,,,,,
108,10/25/23 10:57:00 AM,101.628,27.567,-0.078,,,,,
109,10/25/23 10:58:00 AM,101.628,27.567,-0.078,,,,,
110,10/25/23 10:59:00 AM,101.625,27.468,-0.078,,,,,
111,10/25/23 11:00:00 AM,101.625,27.468,-0.078,,,,,
112,10/25/23 11:01:00 AM,101.625,27.468,-0.078,,,,,
113,10/25/23 11:02:00 AM,101.625,27.468,-0.078,,,,,
114,10/25/23 11:03:00 AM,101.625,27.468,-0.078,,,,,
115,10/25/23 11:04:00 AM,101.623,27.370,-0.079,,,,,
116,10/25/23 11:05:00 AM,101.623,27.370,-0.079,,,,,
117,10/25/23 11:06:00 AM,101.639,27.370,-0.077,,,,,
