Date,TempInSitu,mV,pH,pH_Serial
2/11/24 17:10,27.04,-22.22,6.93,pH_195
2/11/24 17:11,27.7,-70.55,7.76,pH_195
2/11/24 17:12,28.05,-73.91,7.82,pH_195
2/11/24 17:13,28.02,-66.03,7.68,pH_195
2/11/24 17:14,28.22,-72.96,7.8,pH_195
2/11/24 17:15,28.34,-73.19,7.81,pH_195
2/11/24 17:16,28.44,-73.02,7.8,pH_195
2/11/24 17:17,28.42,-71.99,7.78,pH_195
2/11/24 17:18,28.47,-74.53,7.83,pH_195
2/11/24 17:19,28.54,-74.24,7.82,pH_195
2/11/24 17:20,28.54,-75.02,7.84,pH_195
2/11/24 17:21,28.69,-78.91,7.9,pH_195
2/11/24 17:22,28.54,-73.53,7.81,pH_195
2/11/24 17:23,28.59,-72.47,7.79,pH_195
2/11/24 17:24,28.72,-76.72,7.87,pH_195
2/11/24 17:25,28.62,-69.36,7.74,pH_195
2/11/24 17:26,28.72,-77.02,7.87,pH_195
2/11/24 17:27,28.69,-75.49,7.84,pH_195
2/11/24 17:28,28.64,-70.33,7.76,pH_195
2/11/24 17:29,28.64,-71.21,7.77,pH_195
2/11/24 17:30,28.52,-67.41,7.71,pH_195
2/11/24 17:31,28.64,-73.35,7.81,pH_195
2/11/24 17:32,28.57,-69.96,7.75,pH_195
2/11/24 17:33,28.62,-71.44,7.77,pH_195
2/11/24 17:34,28.62,-72.55,7.79,pH_195
2/11/24 17:35,28.64,-70.89,7.77,pH_195
2/11/24 17:36,28.67,-70.97,7.77,pH_195
2/11/24 17:37,28.59,-68.66,7.73,pH_195
2/11/24 17:38,28.67,-71,7.77,pH_195
2/11/24 17:39,28.67,-72.86,7.8,pH_195
2/11/24 17:40,28.69,-74.22,7.82,pH_195
2/11/24 17:41,28.54,-64.85,7.66,pH_195
2/11/24 17:42,28.57,-68.31,7.72,pH_195
2/11/24 17:43,28.69,-73.08,7.8,pH_195
2/11/24 17:44,28.44,-55.31,7.5,pH_195
2/11/24 17:45,28.59,-67.77,7.71,pH_195
2/11/24 17:46,28.49,-63.96,7.65,pH_195
2/11/24 17:47,28.59,-69.74,7.75,pH_195
2/11/24 17:48,28.57,-66.74,7.69,pH_195
2/11/24 17:49,28.37,-57.02,7.53,pH_195
2/11/24 17:50,28.52,-65.55,7.67,pH_195
2/11/24 17:51,28.49,-63.92,7.65,pH_195
2/11/24 17:52,28.44,-58.8,7.56,pH_195
2/11/24 17:53,28.44,-58.81,7.56,pH_195
2/11/24 17:54,28.1,-42.61,7.28,pH_195
2/11/24 17:55,28.39,-59.49,7.57,pH_195
2/11/24 17:56,28.52,-62.21,7.62,pH_195
2/11/24 17:57,28.34,-48.05,7.37,pH_195
2/11/24 17:58,28.3,-54.52,7.49,pH_195
2/11/24 17:59,28.42,-63.5,7.64,pH_195
2/11/24 18:00,28.39,-61.63,7.61,pH_195
2/11/24 18:01,28.34,-57.81,7.54,pH_195
2/11/24 18:02,28.49,-67.55,7.71,pH_195
2/11/24 18:03,28.37,-57.2,7.53,pH_195
2/11/24 18:04,28.34,-60.35,7.59,pH_195
2/11/24 18:05,28.49,-66.67,7.69,pH_195
2/11/24 18:06,28.32,-53.33,7.46,pH_195
2/11/24 18:07,28.34,-57.89,7.54,pH_195
2/11/24 18:08,28.34,-60.36,7.59,pH_195
2/11/24 18:09,28.37,-57.99,7.54,pH_195
2/11/24 18:10,28.3,-56.16,7.51,pH_195
2/11/24 18:11,28.39,-61.53,7.61,pH_195
2/11/24 18:12,28.32,-55.74,7.51,pH_195
2/11/24 18:13,28.3,-56.53,7.52,pH_195
2/11/24 18:14,28.27,-54.99,7.49,pH_195
2/11/24 18:15,28.17,-52,7.44,pH_195
2/11/24 18:16,28.27,-55.75,7.51,pH_195
2/11/24 18:17,28.22,-51.41,7.43,pH_195
2/11/24 18:18,28.15,-45.64,7.33,pH_195
2/11/24 18:19,28.15,-41.86,7.27,pH_195
2/11/24 18:20,28.1,-39.74,7.23,pH_195
2/11/24 18:21,28.2,-40.17,7.24,pH_195
2/11/24 18:22,28.15,-41,7.25,pH_195
2/11/24 18:23,28.02,-41.66,7.26,pH_195
2/11/24 18:24,28.02,-42.69,7.28,pH_195
2/11/24 18:25,28.15,-43.44,7.3,pH_195
2/11/24 18:26,27.9,-43.56,7.3,pH_195
2/11/24 18:27,28,-43.49,7.3,pH_195
2/11/24 18:28,27.9,-42.86,7.29,pH_195
2/11/24 18:29,28,-42.66,7.28,pH_195
2/11/24 18:30,27.85,-42.35,7.28,pH_195
2/11/24 18:31,27.83,-40.49,7.25,pH_195
2/11/24 18:32,27.87,-38.42,7.21,pH_195
2/11/24 18:33,27.87,-38.66,7.21,pH_195
2/11/24 18:34,27.85,-37.84,7.2,pH_195
2/11/24 18:35,27.78,-37.22,7.19,pH_195
2/11/24 18:36,27.6,-37.13,7.19,pH_195
2/11/24 18:37,27.65,-36.92,7.18,pH_195
2/11/24 18:38,27.63,-36.63,7.18,pH_195
2/11/24 18:39,27.55,-36.42,7.18,pH_195
2/11/24 18:40,27.55,-36.06,7.17,pH_195
2/11/24 18:41,27.7,-35.97,7.17,pH_195
2/11/24 18:42,27.51,-35.59,7.16,pH_195
2/11/24 18:43,27.55,-35.34,7.16,pH_195
2/11/24 18:44,27.58,-35.16,7.15,pH_195
2/11/24 18:45,27.51,-35.05,7.15,pH_195
2/11/24 18:46,27.46,-34.81,7.15,pH_195
2/11/24 18:47,27.55,-34.61,7.14,pH_195
2/11/24 18:48,27.46,-34.44,7.14,pH_195
2/11/24 18:49,27.46,-34.31,7.14,pH_195
2/11/24 18:50,27.46,-34.22,7.14,pH_195
2/11/24 18:51,27.51,-34.08,7.14,pH_195
2/11/24 18:52,27.48,-34,7.13,pH_195
2/11/24 18:53,27.41,-33.83,7.13,pH_195
2/11/24 18:54,27.36,-33.64,7.13,pH_195
2/11/24 18:55,27.36,-33.49,7.12,pH_195
2/11/24 18:56,27.28,-33.34,7.12,pH_195
2/11/24 18:57,27.33,-33.24,7.12,pH_195
2/11/24 18:58,27.26,-33.02,7.12,pH_195
2/11/24 18:59,27.31,-32.92,7.12,pH_195
2/11/24 19:00,27.21,-32.72,7.11,pH_195
2/11/24 19:01,27.19,-32.61,7.11,pH_195
2/11/24 19:02,27.11,-32.5,7.11,pH_195
2/11/24 19:03,27.16,-32.44,7.11,pH_195
2/11/24 19:04,27.14,-32.34,7.11,pH_195
2/11/24 19:05,27.09,-32.24,7.1,pH_195
2/11/24 19:06,27.11,-32.17,7.1,pH_195
2/11/24 19:07,27.11,-32.13,7.1,pH_195
2/11/24 19:08,27.06,-32.06,7.1,pH_195
2/11/24 19:09,27.11,-32.03,7.1,pH_195
2/11/24 19:10,27.06,-31.97,7.1,pH_195
2/11/24 19:11,27.11,-31.99,7.1,pH_195
2/11/24 19:12,27.16,-31.97,7.1,pH_195
2/11/24 19:13,27.16,-31.94,7.1,pH_195
2/11/24 19:14,27.23,-31.94,7.1,pH_195
2/11/24 19:15,27.21,-31.89,7.1,pH_195
2/11/24 19:16,27.16,-31.81,7.1,pH_195
2/11/24 19:17,27.11,-31.77,7.1,pH_195
2/11/24 19:18,27.09,-31.74,7.09,pH_195
2/11/24 19:19,27.11,-31.7,7.09,pH_195
2/11/24 19:20,27.09,-31.67,7.09,pH_195
2/11/24 19:21,27.11,-31.58,7.09,pH_195
2/11/24 19:22,27.06,-31.47,7.09,pH_195
2/11/24 19:23,27.19,-31.49,7.09,pH_195
2/11/24 19:24,27.06,-31.38,7.09,pH_195
2/11/24 19:25,27.11,-31.36,7.09,pH_195
2/11/24 19:26,27.06,-31.31,7.09,pH_195
2/11/24 19:27,26.99,-31.27,7.09,pH_195
2/11/24 19:28,27.11,-31.25,7.09,pH_195
2/11/24 19:29,27.01,-31.22,7.09,pH_195
2/11/24 19:30,27.01,-31.19,7.09,pH_195
2/11/24 19:31,27.06,-31.17,7.09,pH_195
2/11/24 19:32,27.06,-31.14,7.08,pH_195
2/11/24 19:33,26.99,-31.09,7.08,pH_195
2/11/24 19:34,27.06,-31.08,7.08,pH_195
2/11/24 19:35,26.96,-30.99,7.08,pH_195
2/11/24 19:36,26.99,-30.95,7.08,pH_195
2/11/24 19:37,26.94,-30.94,7.08,pH_195
2/11/24 19:38,27.01,-30.91,7.08,pH_195
2/11/24 19:39,27.09,-30.88,7.08,pH_195
2/11/24 19:40,27.04,-30.81,7.08,pH_195
2/11/24 19:41,27.04,-30.77,7.08,pH_195
2/11/24 19:42,27.09,-30.72,7.08,pH_195
2/11/24 19:43,27.09,-30.7,7.08,pH_195
2/11/24 19:44,27.09,-30.74,7.08,pH_195
2/11/24 19:45,27.01,-30.67,7.08,pH_195
2/11/24 19:46,27.06,-30.66,7.08,pH_195
2/11/24 19:47,27.01,-30.64,7.08,pH_195
2/11/24 19:48,27.11,-30.63,7.08,pH_195
2/11/24 19:49,27.11,-30.63,7.08,pH_195
2/11/24 19:50,27.16,-30.61,7.08,pH_195
2/11/24 19:51,27.14,-30.53,7.07,pH_195
2/11/24 19:52,27.01,-30.63,7.08,pH_195
2/11/24 19:53,27.09,-30.08,7.07,pH_195
2/11/24 19:54,27.14,-30.38,7.07,pH_195
2/11/24 19:55,27.11,-30.44,7.07,pH_195
2/11/24 19:56,27.04,-30.53,7.07,pH_195
2/11/24 19:57,26.99,-30.42,7.07,pH_195
2/11/24 19:58,26.96,-29.74,7.06,pH_195
2/11/24 19:59,26.96,-29.84,7.06,pH_195
2/11/24 20:00,27.01,-29.74,7.06,pH_195
2/11/24 20:01,27.04,-29.3,7.05,pH_195
2/11/24 20:02,27.06,-28.89,7.05,pH_195
2/11/24 20:03,26.94,-28.55,7.04,pH_195
2/11/24 20:04,26.92,-28.24,7.03,pH_195
2/11/24 20:05,26.94,-27.99,7.03,pH_195
2/11/24 20:06,26.96,-27.8,7.03,pH_195
2/11/24 20:07,26.94,-27.64,7.02,pH_195
2/11/24 20:08,26.96,-27.52,7.02,pH_195
2/11/24 20:09,27.01,-27.45,7.02,pH_195
2/11/24 20:10,26.89,-27.34,7.02,pH_195
2/11/24 20:11,26.87,-27.25,7.02,pH_195
2/11/24 20:12,26.92,-27.24,7.02,pH_195
2/11/24 20:13,26.84,-27.22,7.02,pH_195
2/11/24 20:14,26.82,-27.22,7.02,pH_195
2/11/24 20:15,26.84,-27.16,7.02,pH_195
2/11/24 20:16,26.87,-27.13,7.02,pH_195
2/11/24 20:17,26.96,-27.13,7.02,pH_195
2/11/24 20:18,26.92,-27.14,7.02,pH_195
2/11/24 20:19,26.82,-27.14,7.02,pH_195
2/11/24 20:20,26.74,-27.14,7.02,pH_195
2/11/24 20:21,26.82,-27.16,7.02,pH_195
2/11/24 20:22,26.89,-27.22,7.02,pH_195
2/11/24 20:23,26.92,-27.25,7.02,pH_195
2/11/24 20:24,26.82,-27.31,7.02,pH_195
2/11/24 20:25,26.74,-27.31,7.02,pH_195
2/11/24 20:26,26.82,-27.31,7.02,pH_195
2/11/24 20:27,26.84,-27.33,7.02,pH_195
2/11/24 20:28,26.79,-27.34,7.02,pH_195
2/11/24 20:29,26.77,-27.39,7.02,pH_195
2/11/24 20:30,26.84,-27.39,7.02,pH_195
2/11/24 20:31,26.87,-27.41,7.02,pH_195
2/11/24 20:32,26.87,-27.42,7.02,pH_195
2/11/24 20:33,26.89,-27.44,7.02,pH_195
2/11/24 20:34,26.89,-27.42,7.02,pH_195
2/11/24 20:35,26.94,-27.41,7.02,pH_195
2/11/24 20:36,26.84,-27.42,7.02,pH_195
2/11/24 20:37,26.87,-27.44,7.02,pH_195
2/11/24 20:38,26.84,-27.45,7.02,pH_195
2/11/24 20:39,26.82,-27.45,7.02,pH_195
2/11/24 20:40,26.84,-27.45,7.02,pH_195
2/11/24 20:41,26.82,-27.45,7.02,pH_195
2/11/24 20:42,26.82,-27.45,7.02,pH_195
2/11/24 20:43,26.92,-27.44,7.02,pH_195
2/11/24 20:44,26.92,-27.49,7.02,pH_195
2/11/24 20:45,26.82,-27.49,7.02,pH_195
2/11/24 20:46,26.92,-27.47,7.02,pH_195
2/11/24 20:47,26.82,-27.45,7.02,pH_195
2/11/24 20:48,26.87,-27.44,7.02,pH_195
2/11/24 20:49,26.82,-27.45,7.02,pH_195
2/11/24 20:50,26.82,-27.44,7.02,pH_195
2/11/24 20:51,26.89,-27.42,7.02,pH_195
2/11/24 20:52,26.79,-27.42,7.02,pH_195
2/11/24 20:53,26.82,-27.38,7.02,pH_195
2/11/24 20:54,26.84,-27.33,7.02,pH_195
2/11/24 20:55,26.87,-27.31,7.02,pH_195
2/11/24 20:56,26.87,-27.3,7.02,pH_195
2/11/24 20:57,26.87,-27.3,7.02,pH_195
2/11/24 20:58,26.82,-27.31,7.02,pH_195
2/11/24 20:59,26.84,-27.33,7.02,pH_195
2/11/24 21:00,26.92,-27.31,7.02,pH_195
2/11/24 21:01,26.87,-27.31,7.02,pH_195
2/11/24 21:02,26.84,-27.34,7.02,pH_195
2/11/24 21:03,26.84,-27.34,7.02,pH_195
2/11/24 21:04,26.79,-27.33,7.02,pH_195
2/11/24 21:05,26.77,-27.3,7.02,pH_195
2/11/24 21:06,26.77,-27.28,7.02,pH_195
2/11/24 21:07,26.74,-27.27,7.02,pH_195
2/11/24 21:08,26.74,-27.27,7.02,pH_195
2/11/24 21:09,26.79,-27.25,7.02,pH_195
2/11/24 21:10,26.79,-27.25,7.02,pH_195
2/11/24 21:11,26.77,-27.27,7.02,pH_195
2/11/24 21:12,26.79,-27.25,7.02,pH_195
2/11/24 21:13,26.74,-27.27,7.02,pH_195
2/11/24 21:14,26.77,-27.3,7.02,pH_195
2/11/24 21:15,26.77,-27.25,7.02,pH_195
