7450-735719
OS REV: 1.05 Sensor Cal: 1573748658
"Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()"
"1706909280,+2.92,+27.017, +0.081,+0.977"
"1706909340,+2.92,+27.017, +0.081,+0.977"
"1706909400,+2.92,+27.043, +0.080,+0.976"
"1706909460,+2.92,+26.992, +0.081,+0.976"
"1706909520,+2.92,+27.009, +0.080,+0.976"
"1706909580,+2.92,+27.009, +0.081,+0.976"
"1706909640,+2.92,+27.026, +0.081,+0.976"
"1706909700,+2.91,+27.094, +0.080,+0.976"
"1706909760,+2.91,+27.111, +0.080,+0.976"
"1706909820,+2.91,+27.119, +0.080,+0.976"
"1706909880,+2.91,+27.111, +0.079,+0.976"
"1706909940,+2.91,+27.077, +0.079,+0.976"
"1706910000,+2.91,+27.111, +0.079,+0.976"
"1706910060,+2.91,+27.119, +0.079,+0.976"
"1706910120,+2.91,+27.153, +0.080,+0.976"
"1706910180,+2.91,+27.153, +0.079,+0.976"
"1706910240,+2.91,+27.161, +0.079,+0.976"
"1706910300,+2.91,+27.161, +0.079,+0.976"
"1706910360,+2.91,+27.161, +0.079,+0.976"
"1706910420,+2.91,+27.153, +0.079,+0.976"
"1706910480,+2.91,+27.161, +0.079,+0.976"
"1706910540,+2.91,+27.136, +0.079,+0.976"
"1706910600,+2.91,+27.068, +0.080,+0.976"
"1706910660,+2.91,+27.085, +0.079,+0.977"
"1706910720,+2.91,+27.128, +0.080,+0.977"
"1706910780,+2.91,+27.111, +0.081,+0.977"
"1706910840,+2.91,+27.077, +0.080,+0.977"
"1706910900,+2.92,+27.034, +0.080,+0.977"
"1706910960,+2.91,+27.060, +0.079,+0.977"
"1706911020,+2.92,+27.034, +0.080,+0.977"
"1706911080,+2.92,+27.068, +0.080,+0.977"
"1706911140,+2.91,+27.068, +0.081,+0.977"
"1706911200,+2.91,+27.060, +0.081,+0.977"
"1706911260,+2.92,+27.068, +0.081,+0.977"
"1706911320,+2.92,+27.043, +0.080,+0.977"
"1706911380,+2.92,+27.000, +0.082,+0.977"
"1706911440,+2.92,+26.983, +0.085,+0.976"
"1706911500,+2.92,+26.975, +0.087,+0.976"
"1706911560,+2.92,+26.941, +0.089,+0.976"
"1706911620,+2.92,+26.924, +0.090,+0.976"
"1706911680,+2.92,+26.941, +0.090,+0.976"
"1706911740,+2.92,+26.941, +0.090,+0.976"
"1706911800,+2.92,+26.949, +0.089,+0.976"
"1706911860,+2.92,+26.949, +0.089,+0.976"
"1706911920,+2.92,+26.932, +0.090,+0.976"
"1706911980,+2.92,+26.932, +0.090,+0.976"
"1706912040,+2.92,+26.975, +0.089,+0.976"
