7450-735719
OS REV: 1.05 Sensor Cal: 1573748658
"Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()"
"1708139040,+2.82,+23.381, +8.170,+0.988"
"1708139100,+2.82,+23.372, +8.155,+0.986"
"1708139160,+2.82,+23.372, +8.171,+0.987"
"1708139220,+2.82,+23.364, +8.167,+0.987"
"1708139280,+2.82,+23.355, +8.182,+0.988"
"1708139340,+2.82,+23.347, +8.164,+0.987"
"1708139400,+2.82,+23.347, +8.167,+0.987"
"1708139460,+2.82,+23.355, +8.171,+0.987"
"1708139520,+2.82,+23.347, +8.168,+0.987"
"1708139580,+2.82,+23.339, +8.167,+0.987"
"1708139640,+2.82,+23.347, +8.164,+0.987"
"1708139700,+2.82,+23.330, +8.171,+0.987"
"1708139760,+2.82,+23.347, +8.168,+0.987"
"1708139820,+2.82,+23.314, +8.176,+0.987"
"1708139880,+2.82,+23.305, +8.180,+0.987"
"1708139940,+2.82,+23.305, +8.172,+0.987"
"1708140000,+2.82,+23.297, +8.176,+0.987"
"1708140060,+2.82,+23.297, +8.184,+0.988"
"1708140120,+2.82,+23.297, +8.181,+0.987"
"1708140180,+2.82,+23.297, +8.176,+0.987"
"1708140240,+2.82,+23.280, +8.203,+0.988"
"1708140300,+2.82,+23.288, +8.188,+0.988"
"1708140360,+2.82,+23.297, +8.179,+0.987"
"1708140420,+2.82,+23.288, +8.173,+0.986"
"1708140480,+2.82,+23.272, +8.185,+0.987"
"1708140540,+2.82,+23.272, +8.170,+0.986"
"1708140600,+2.82,+23.272, +8.185,+0.987"
"1708140660,+2.82,+23.272, +8.187,+0.987"
"1708140720,+2.82,+23.263, +8.189,+0.987"
"1708140780,+2.82,+23.255, +8.172,+0.986"
"1708140840,+2.82,+23.247, +8.196,+0.987"
"1708140900,+2.82,+23.238, +8.198,+0.987"
"1708140960,+2.82,+23.247, +8.190,+0.987"
"1708141020,+2.82,+23.247, +8.189,+0.987"
"1708141080,+2.82,+23.230, +8.189,+0.987"
"1708141140,+2.82,+23.247, +8.191,+0.987"
"1708141200,+2.82,+23.238, +8.186,+0.987"
"1708141260,+2.82,+23.247, +8.191,+0.987"
"1708141320,+2.82,+23.230, +8.196,+0.987"
"1708141380,+2.82,+23.213, +8.199,+0.987"
"1708141440,+2.82,+23.222, +8.189,+0.987"
"1708141500,+2.82,+23.205, +8.197,+0.987"
"1708141560,+2.82,+23.213, +8.206,+0.988"
"1708141620,+2.82,+23.222, +8.186,+0.987"
"1708141680,+2.82,+23.222, +8.180,+0.987"
"1708141740,+2.82,+23.222, +8.196,+0.987"
"1708141800,+2.82,+23.188, +8.204,+0.987"
"1708141860,+2.82,+23.196, +8.201,+0.987"
"1708141920,+2.82,+23.188, +8.205,+0.987"
"1708141980,+2.82,+23.188, +8.199,+0.987"
"1708142040,+2.82,+23.180, +8.193,+0.987"
"1708142100,+2.82,+23.196, +8.192,+0.987"
"1708142160,+2.82,+23.180, +8.189,+0.986"
"1708142220,+2.82,+23.180, +8.213,+0.988"
"1708142280,+2.82,+23.171, +8.193,+0.986"
"1708142340,+2.82,+23.180, +8.211,+0.988"
"1708142400,+2.82,+23.171, +8.216,+0.988"
"1708142460,+2.82,+23.163, +8.206,+0.987"
"1708142520,+2.82,+23.171, +8.205,+0.987"
"1708142580,+2.82,+23.180, +8.207,+0.988"
"1708142640,+2.82,+23.146, +8.211,+0.987"
"1708142700,+2.82,+23.155, +8.206,+0.987"
"1708142760,+2.82,+23.146, +8.206,+0.987"
"1708142820,+2.82,+23.138, +8.201,+0.986"
"1708142880,+2.82,+23.138, +8.211,+0.987"
"1708142940,+2.82,+23.138, +8.213,+0.988"
"1708143000,+2.82,+23.129, +8.217,+0.987"
"1708143060,+2.82,+23.129, +8.208,+0.987"
"1708143120,+2.82,+23.129, +8.205,+0.987"
"1708143180,+2.82,+23.121, +8.206,+0.987"
"1708143240,+2.82,+23.121, +8.223,+0.988"
"1708143300,+2.82,+23.121, +8.212,+0.987"
"1708143360,+2.82,+23.104, +8.212,+0.987"
"1708143420,+2.82,+23.113, +8.219,+0.988"
"1708143480,+2.82,+23.113, +8.213,+0.987"
"1708143540,+2.82,+23.104, +8.204,+0.986"
"1708143600,+2.82,+23.104, +8.204,+0.986"
"1708143660,+2.82,+23.113, +8.201,+0.986"
"1708143720,+2.82,+23.104, +8.223,+0.987"
"1708143780,+2.82,+23.113, +8.220,+0.987"
"1708143840,+2.82,+23.079, +8.221,+0.987"
"1708143900,+2.82,+23.088, +8.219,+0.987"
"1708143960,+2.82,+23.071, +8.231,+0.988"
"1708144020,+2.82,+23.088, +8.224,+0.987"
"1708144080,+2.82,+23.088, +8.217,+0.987"
"1708144140,+2.82,+23.071, +8.225,+0.987"
"1708144200,+2.82,+23.071, +8.217,+0.986"
"1708144260,+2.82,+23.088, +8.225,+0.987"
"1708144320,+2.82,+23.071, +8.225,+0.987"
"1708144380,+2.82,+23.062, +8.231,+0.987"
"1708144440,+2.82,+23.062, +8.221,+0.987"
"1708144500,+2.82,+23.062, +8.219,+0.987"
"1708144560,+2.82,+23.062, +8.225,+0.987"
"1708144620,+2.82,+23.062, +8.228,+0.987"
"1708144680,+2.82,+23.054, +8.228,+0.987"
"1708144740,+2.82,+23.054, +8.227,+0.987"
"1708144800,+2.82,+23.046, +8.235,+0.988"
"1708144860,+2.82,+23.037, +8.231,+0.987"
"1708144920,+2.82,+23.046, +8.233,+0.987"
