"Plot Title: WL_876"
"#","Date Time, GMT-10:00","Abs Pres, psi (LGR S/N: 20810876, SEN S/N: 20810876)","Temp, °F (LGR S/N: 20810876, SEN S/N: 20810876)"
1,01/29/24 06:00:00 AM,14.6590,72.891
2,01/29/24 06:01:00 AM,14.6614,72.891
3,01/29/24 06:02:00 AM,14.6590,72.891
4,01/29/24 06:03:00 AM,14.6590,72.891
5,01/29/24 06:04:00 AM,14.6590,72.891
6,01/29/24 06:05:00 AM,14.6590,72.891
7,01/29/24 06:06:00 AM,14.6590,72.891
8,01/29/24 06:07:00 AM,14.6614,72.891
9,01/29/24 06:08:00 AM,14.6590,72.891
10,01/29/24 06:09:00 AM,14.6590,72.891
11,01/29/24 06:10:00 AM,14.6590,72.891
12,01/29/24 06:11:00 AM,14.6590,72.891
13,01/29/24 06:12:00 AM,14.6614,72.891
14,01/29/24 06:13:00 AM,14.6611,72.718
15,01/29/24 06:14:00 AM,14.6587,72.718
16,01/29/24 06:15:00 AM,14.6587,72.718
17,01/29/24 06:16:00 AM,14.6611,72.718
18,01/29/24 06:17:00 AM,14.6587,72.718
19,01/29/24 06:18:00 AM,14.6611,72.718
20,01/29/24 06:19:00 AM,14.6611,72.718
21,01/29/24 06:20:00 AM,14.6611,72.718
22,01/29/24 06:21:00 AM,14.6636,72.718
23,01/29/24 06:22:00 AM,14.6611,72.718
24,01/29/24 06:23:00 AM,14.6636,72.718
25,01/29/24 06:24:00 AM,14.6636,72.718
26,01/29/24 06:25:00 AM,14.6611,72.718
27,01/29/24 06:26:00 AM,14.6611,72.718
28,01/29/24 06:27:00 AM,14.6611,72.718
29,01/29/24 06:28:00 AM,14.6611,72.718
30,01/29/24 06:29:00 AM,14.6611,72.718
31,01/29/24 06:30:00 AM,14.6611,72.718
32,01/29/24 06:31:00 AM,14.6636,72.718
33,01/29/24 06:32:00 AM,14.6636,72.718
34,01/29/24 06:33:00 AM,14.6611,72.718
35,01/29/24 06:34:00 AM,14.6636,72.718
36,01/29/24 06:35:00 AM,14.6611,72.718
37,01/29/24 06:36:00 AM,14.6636,72.718
38,01/29/24 06:37:00 AM,14.6636,72.718
39,01/29/24 06:38:00 AM,14.6636,72.718
40,01/29/24 06:39:00 AM,14.6636,72.718
41,01/29/24 06:40:00 AM,14.6636,72.718
42,01/29/24 06:41:00 AM,14.6636,72.718
43,01/29/24 06:42:00 AM,14.6636,72.718
44,01/29/24 06:43:00 AM,14.6636,72.718
45,01/29/24 06:44:00 AM,14.6636,72.718
46,01/29/24 06:45:00 AM,14.6661,72.718
47,01/29/24 06:46:00 AM,14.6661,72.718
48,01/29/24 06:47:00 AM,14.6661,72.718
49,01/29/24 06:48:00 AM,14.6636,72.718
50,01/29/24 06:49:00 AM,14.6636,72.718
51,01/29/24 06:50:00 AM,14.6661,72.718
52,01/29/24 06:51:00 AM,14.6636,72.718
53,01/29/24 06:52:00 AM,14.6636,72.718
54,01/29/24 06:53:00 AM,14.6661,72.718
55,01/29/24 06:54:00 AM,14.6661,72.718
56,01/29/24 06:55:00 AM,14.6636,72.718
57,01/29/24 06:56:00 AM,14.6636,72.718
58,01/29/24 06:57:00 AM,14.6636,72.718
59,01/29/24 06:58:00 AM,14.6636,72.718
60,01/29/24 06:59:00 AM,14.6636,72.718
61,01/29/24 07:00:00 AM,14.6636,72.718
62,01/29/24 07:01:00 AM,14.6636,72.718
63,01/29/24 07:02:00 AM,14.6636,72.718
64,01/29/24 07:03:00 AM,14.6636,72.718
65,01/29/24 07:04:00 AM,14.6636,72.718
66,01/29/24 07:05:00 AM,14.6636,72.718
67,01/29/24 07:06:00 AM,14.6636,72.718
68,01/29/24 07:07:00 AM,14.6636,72.718
69,01/29/24 07:08:00 AM,14.6636,72.718
70,01/29/24 07:09:00 AM,14.6636,72.718
71,01/29/24 07:10:00 AM,14.6636,72.718
72,01/29/24 07:11:00 AM,14.6661,72.718
73,01/29/24 07:12:00 AM,14.6661,72.718
74,01/29/24 07:13:00 AM,14.6636,72.718
75,01/29/24 07:14:00 AM,14.6636,72.718
76,01/29/24 07:15:00 AM,14.6636,72.718
77,01/29/24 07:16:00 AM,14.6661,72.718
78,01/29/24 07:17:00 AM,14.6661,72.718
79,01/29/24 07:18:00 AM,14.6661,72.718
80,01/29/24 07:19:00 AM,14.6661,72.718
81,01/29/24 07:20:00 AM,14.6661,72.718
82,01/29/24 07:21:00 AM,14.6661,72.718
83,01/29/24 07:22:00 AM,14.6636,72.718
84,01/29/24 07:23:00 AM,14.6636,72.718
85,01/29/24 07:24:00 AM,14.6636,72.718
86,01/29/24 07:25:00 AM,14.6661,72.718
87,01/29/24 07:26:00 AM,14.6661,72.718
88,01/29/24 07:27:00 AM,14.6661,72.718
89,01/29/24 07:28:00 AM,14.6661,72.718
90,01/29/24 07:29:00 AM,14.6661,72.718
91,01/29/24 07:30:00 AM,14.6661,72.718
92,01/29/24 07:31:00 AM,14.6661,72.718
93,01/29/24 07:32:00 AM,14.6661,72.718
94,01/29/24 07:33:00 AM,14.6661,72.718
95,01/29/24 07:34:00 AM,14.6636,72.718
96,01/29/24 07:35:00 AM,14.6661,72.718
97,01/29/24 07:36:00 AM,14.6661,72.718
98,01/29/24 07:37:00 AM,14.6685,72.718
99,01/29/24 07:38:00 AM,14.6661,72.718
100,01/29/24 07:39:00 AM,14.6685,72.718
101,01/29/24 07:40:00 AM,14.6685,72.718
102,01/29/24 07:41:00 AM,14.6685,72.718
103,01/29/24 07:42:00 AM,14.6685,72.718
104,01/29/24 07:43:00 AM,14.6661,72.718
105,01/29/24 07:44:00 AM,14.6685,72.718
106,01/29/24 07:45:00 AM,14.6685,72.718
107,01/29/24 07:46:00 AM,14.6710,72.718
108,01/29/24 07:47:00 AM,14.6710,72.718
109,01/29/24 07:48:00 AM,14.6710,72.718
110,01/29/24 07:49:00 AM,14.6710,72.718
111,01/29/24 07:50:00 AM,14.6710,72.718
112,01/29/24 07:51:00 AM,14.6710,72.718
113,01/29/24 07:52:00 AM,14.6685,72.718
114,01/29/24 07:53:00 AM,14.6710,72.718
115,01/29/24 07:54:00 AM,14.6710,72.718
116,01/29/24 07:55:00 AM,14.6710,72.718
117,01/29/24 07:56:00 AM,14.6685,72.718
118,01/29/24 07:57:00 AM,14.6710,72.718
119,01/29/24 07:58:00 AM,14.6710,72.718
120,01/29/24 07:59:00 AM,14.6710,72.718
121,01/29/24 08:00:00 AM,14.6710,72.718
122,01/29/24 08:01:00 AM,14.6685,72.718
123,01/29/24 08:02:00 AM,14.6710,72.718
124,01/29/24 08:03:00 AM,14.6736,72.718
125,01/29/24 08:04:00 AM,14.6710,72.718
126,01/29/24 08:05:00 AM,14.6736,72.718
127,01/29/24 08:06:00 AM,14.6736,72.718
128,01/29/24 08:07:00 AM,14.6736,72.718
129,01/29/24 08:08:00 AM,14.6710,72.718
130,01/29/24 08:09:00 AM,14.6736,72.718
131,01/29/24 08:10:00 AM,14.6736,72.718
132,01/29/24 08:11:00 AM,14.6736,72.718
133,01/29/24 08:12:00 AM,14.6710,72.718
134,01/29/24 08:13:00 AM,14.6710,72.718
135,01/29/24 08:14:00 AM,14.6710,72.718
136,01/29/24 08:15:00 AM,14.6710,72.718
137,01/29/24 08:16:00 AM,14.6714,72.891
138,01/29/24 08:17:00 AM,14.6739,72.891
139,01/29/24 08:18:00 AM,14.6739,72.891
140,01/29/24 08:19:00 AM,14.6739,72.891
141,01/29/24 08:20:00 AM,14.6739,72.891
